Key,Description
com.bsbportal.music,"<h2>Explore a World of Music</h2>
Dive into an expansive library of over 24 million Songs, featuring everything from the latest Bollywood hits and international chart-toppers to timeless old classics across diverse genres. Whether it's Punjabi tracks, Hip Hop, K-Pop, or Devotional tunes, Wynk Music offers unparalleled quality and variety.

<h2>Stream High-Quality Music</h2>
Enjoy crystal-clear music streaming with our extensive playlist selections, including Lo-Fi, Retro, Love Songs, and much more. Get hooked on the newest tracks like Mirza from Maidaan and hits from the Dunki movie, or revisit your old favorites!

<h2>Download & Listen Offline</h2>
Wynk Music App also lets you download songs for offline music streaming! Now you can download the latest songs of 2024, as well as old Hindi songs. This music player and downloader app lets you create playlists with 'My Music' and listen to free music, including Tamil songs or workout music

<h2>Podcasts & More</h2>
Not just music, Wynk also offers a vast selection of free podcasts ranging from entertainment to storytelling, enhancing your listening experience with a variety of audio content.

<h2>Set your Favourite Songs as Hellotunes</h2>
Personalize your caller tune from our wide selection of music across various languages and genres, from the latest hits to regional favorites. The app boasts an extensive library of high-quality caller tunes, including new songs, Hindi songs, Tamil & Telugu Songs, Punjabi Gane, & more.

<h2>Explore Songs from your favorite Artists</h2>
Listen to English songs from artists like Ed Sheeran, Justin Bieber, Taylor Swift, & BTS. Use Wynk Music App as a free offline music player & listen to Bollywood Music of your favourite artists like Arijit Singh, Lata Mangeshkar, Kishore Kumar & play songs of many artists. The Free Music Player & Downloader app also offers the latest songs & old songs with amazing sound quality across all devices.

<h2>Exciting New Features on Wynk Music!</h2>

Featuring Ringtones: Make Every Call Your Own

Ever wished your phone would ring with your favorite Ringtone? With Wynk Music's new Custom Ringtones feature, you can now snip your favorite part of any song, download it, and set it as your ringtone. Personalize your calls and let your favorite music announce every call!

Introducing Comments: Connect Through Music

Music is meant to be shared and discussed. That’s why we’ve introduced Comments—create your own profile on Wynk Music and join the conversation. Share your thoughts on tracks, connect with other music lovers, and discover new music through community insights. It's not just about listening; it's about engaging with an active musical community.

Explore, Customize, and Connect

With Wynk Music, your music experience is personal and interactive. Customize your ringtones, engage with songs, artists, and other users. Download the latest version of Wynk Music now and start enjoying these new features today. Dive deeper into music and let it ring true in every aspect of your life!

So why wait? Download the Wynk Music App today and start your musical journey. With new music being added and endless possibilities for discovery, the sky's the limit. Get ready to be swept away by the power of music only with Wynk Music!""

Go Premium - Enjoy Music Ad-Free!
Upgrade to Wynk Music Premium!

Unlimited Music Downloads: Download all your favorite tracks and listen offline.

Ad-Free Streaming: Enjoy uninterrupted music with no ads.
Unlimited Hellotune Changes: Customize your caller tune as often as you like.
Special Offer: Get your First Month FREE when you subscribe to Wynk Music Premium today!

Join Our Community

Follow us on Instagram: Wynk Music Instagram
Like us on Facebook: Wynk Music Facebook
Listen on Desktop: Wynk Music Web
Contact us: contact@wynk.in

Download Wynk Music App today and start your journey with music that moves you. Discover more, play your favorites, and keep the beats going!"
com.dream11sportsguru,"<b>Discover India’s Ultimate Live Streaming, Live Scores & Sports Merchandise Hub — loved by 3 Crore+ users!</b>

VROOOOM! VROOOOM! VROOOOM! 🏁🏎💨
With this new release, comes a NEW SPORT: FORMULA 1!
That's right. Starting with the FORMULA 1 Miami Grand Prix this weekend, watch all 24 races of the 2024 season!
We are bringing you a fantastic Race day experience for Practice, Qualifying, and the main Race!
On your marks, get set, UPDATE!
Download Now and enjoy life in the fast lane.

🏆 Watch Live Cricket Matches of :-

· Carabao Cup Final : Chelsea vs Liverpool Live
· Pakistan Super League ~ PSL T20 season on FanCode! 
· Bangladesh Premier League, T20

Uncover more football action:
Football - Carabao Cup, Copa del Rey
Kabaddi - All Yuva Kabaddi Series
Hockey - Hockey India Senior Women National Championship, Men's & Women's FIH Pro League
Golf - PGA Tour
Volleyball - Volleyball Nations League ( VNL )
Handball - Premier Handball League
Baseball - Major League Baseball ( MLB )
Basketball - Liga Endesa
Rugby - Rugby Seven's Championship
<b>All accessible on FanCode</b>

<b>Dive into Football Frenzy at FanCode!</b>

• 🔔 Witness Live Moments:
o Instant <b>highlights and in-match clips,</b> no waiting.
o Engaging video overlays for <b>live matches with player stats, scores & social commentary.</b>
• <b>Ball by ball</b> live cricket <b>commentary, previews & video highlights.</b>
• Customised, fast & precise sports notifications. 🔔
• Exclusive scoops & interviews of your cherished football icons.
• Shop trendy <b>sports merchandise:</b> team jerseys, shorts, masks, t-shirts, & accessories.

• Immerse in a treasure trove of football excitement:
o <b>100+</b> live sports matches monthly
o <b>500+</b> live sports matches annually from 20+ tours
o <b>Interactive Video Overlays | English & Hindi Commentary | Real-time Highlights</b>
• Real-time NBA scores, results, conferences & playoffs.
• Updates on IPL, ICC T20 World Cup, UEFA Champions League & top teams: Manchester United, PSG, Chelsea, Liverpool, Barcelona.

<b>Live Cricket Scorecard:</b>
• Real-time cricket scores: India tour of South Africa, ICC T20 World Cup, Australia vs England & more.
• International cricket live score updates, weather reports, pitch analysis, toss stats, player injuries & more.
• Stay tuned for Ranji Trophy, Plunket Shield, Sheffield Shield, IPL, T20 World Cup matches.
• Detailed commentary & live cricket buzz from IPL & major tournaments.

<b>Expert Stats:</b>
• Player performance analysis, IPL & T20 cricket match previews, weather, pitch reports & historical stats.
• Probable playing XI for cricket research.
• Confirmed playing line-ups and squads for T20 cricket, International Cricket & Football.

<b>Sports Updates & Videos:</b>
• Relive T20 cricket highlights, track football transfer rumours & new signings.
• Exciting real-time cricket event highlights.
• Exclusive interviews with players, coaches & managers.
• Missed T20 cricket matches? Find them on the highlights tab.

Download FanCode now. Elevate your game, relish the football frenzy! ⚽️✨ Stay updated, seize every sporting moment!"
co.nick.joeju,"Govt jobs prep is the app to provide quality e books at cheaper cost for all competitive exams.
 app also provide quality videos and live classes for RRB,SSC,IBPS,POLICE competitive exams with state level faculties.we also provide coaching in English and Telugu languages.

Disclaimer: We are not the Government Organization and not linked with any way with the Government We just provide information gathered from various trusted sources and from several Government organizations which are available in the public domain. All the content provided here is only for the educational and informational purposes to the users. Application is not affiliated with any Government services or person.

Sources of Information -

https://www.wikipedia.org/
https://www.indianrailways.gov.in/
https://ssc.nic.in/
https://joinindianarmy.nic.in/
http://uppsc.up.nic.in/
https://indianairforce.nic.in/
https://www.delhipolice.nic.in/
http://www.jssc.nic.in/
http://biharpolice.bih.nic.in/"
in.amazon.mShop.android.shopping,"With the Amazon app, shop online and pay across a wide selection of products, groceries and categories at great prices, within a single shopping app. Shop mobiles, electronics, fashion, household items & more with the online shopping app. Pay for flights, bills and make payments easier with Amazon Pay, and conveniently order your groceries for home delivery with Pantry and Amazon Fresh. Watch entertaining videos across genres (comedy, tech, beauty and more) for free on miniTV. Speak to shop - Tap the mic icon to use Alexa on the app. Play games and win prizes every day.
<b>Online Shopping Store</b>
Free online shopping app assures you of a great shopping experience, with a wide selection of products and clothes from brands across categories, including:
<i>Electronics</i>
· Shop for deals on the latest phones: Samsung Galaxy, Redmi, Apple iPhone, OnePlus & more
· Phone accessories
· Laptops
· TVs & more
<i>Fashion for all occasions - Shop online for Men’s, Women’s & kids' clothes:</i>
· Shirts
· Sarees & dresses
· Watches, Handbags & jewellery
· Shoes
<i>Beauty - Shop for cosmetics</i>
· Perfumes
· Make up
· Hair-care
<i>Media</i>
· Books
· Music
· Video games
<i>Home & Kitchen:</i>
· Cookware & Tableware
· Decor, Furnishing & Cleaning
· Appliances (Refrigerators, Washing Machines etc)
<b>App Features</b>
· Easily browse & search for products by name, category, or brand, at the best prices
· Quick delivery times
· Updated order tracking
· Get notified on the latest offers & deals
· Hassle free returns and replacements
· Convenient and secure payment options, including cash on delivery, bill payments, money transfer, Amazon Pay, Credit/Debit Card, UPI, EMI or Net Banking.
· Safe & secure shopping, with 100% purchase protection offered by Amazon’s A-to-Z Guarantee for safe payments & transactions
· 24/7 customer service support
<b>Amazon Pay</b>
· <i>Payments made easier</i>: Send money & quick payments to friends & family with Amazon Pay UPI easily through your phone contacts or invite them to send money from your Indian bank account and earn rewards.
· <i>Pay on delivery</i>: Load cash instantly into your Amazon Pay wallet at your doorstep and enjoy the convenience of one-click easy payments, faster refunds and no hassle of finding exact change
· <i>UPI</i>:Make faster & safer online payments with Amazon Pay UPI and pay directly from your bank account for online shopping, recharges, bill payments; including mobile phone, gas & electricity, flight bookings & more.
Amazon Pay is safe, secure and supported by govt. of India.
<b>Amazon miniTV</b>
Amazon miniTV is a free video streaming service offering original web series, short films, comedy videos & more. It’s a one-stop destination for unlimited entertainment with content curated for Indian customers.
· Create your watchlist
· Easily continue watching where you last left off
· Free video with minimum ads
· Stream exclusive web series & watch miniMovies
<b>Unbeatable savings on Amazon Fresh, Pantry and Groceries</b>
· Order food & groceries online for home delivery, from vegetables, cooking essentials & snacks, to beverages, packaged foods, household & personal care items.
· Enjoy benefit of 1-day & scheduled online grocery delivery
<b>Amazon Prime</b>
Get guaranteed free 1-Day, 2-Day or standard delivery on eligible items, 30-minute early access to top Lightning deals & watch the latest & exclusive movies and TV shows on Prime Video.
#-T&C apply
<b>Permissions</b>
In order to offer you the best experience and operate properly, the Amazon Shopping App needs access to the following services:
* Account: Account permissions are needed for integration with Facebook & other social media network you have connected to your device to allow you to share products with family & friends
* Accessibility: Allows the Amazon app to help you automatically find product matches from Amazon while you shop across the web"
co.jarvis.clog,"Chandan Logics App is designed in a structured manner, which assists you to prepare for Government Jobs Examination.
We help you prepare for government job examinations and state service commission examinations with our structured courses, mock tests, pdf's, notes and more that are available within our app. Our App provides you with a seamless learning experience through our free and paid video content available inside the app."
com.sathish.Eng2TelDict,"English to Telugu Dictionary is a handy app featuring 50,000+ English words and their meaning in the Telugu language. 
The dictionary shows the Telugu meaning in clear Telugu font. Use the search function to navigate to a term, or simply tap on the English word field to get the Telugu description."
com.os.docvault,"DocVault is an app that allows you to easily and conveniently manage your personal documents on phone while on the move. 
You can also download government issued and verified documents by linking to your “DigiLocker"" account. All your documents are secured via password, encrypted and private to you. Enjoy the rich visual experience and enhanced features like creating Categories for documents, adding Multiple-Formats of documents like PDF and Images, linking Fingerprints for easy retrieval, quick access to Favorite documents and much more !!"
com.buddyloan.vls,"Get <b>Instant Personal Loan</b> starting from <b>Rs.5,000 to Rs.15 Lakhs</b> in just a few minutes using the Buddy Loan - Loan Aggregator App. Our Preferred Lenders Interest rates start at 11.99% p.a. & you can select from a wide range of <b>Flexible Repayment Plans</b> starting from 6 months to 5 years. <b>Feel free to use these funds to meet any of your financial needs</b>

<b>Example Calculation:</b> A loan of ₹1,00,000 with an interest rate of 13% and a repayment tenure of 1 year has a processing fee of 2% = ₹2,000 + GST = ₹2,360 (Line setup fee of ₹499+GST = ₹588/- to be paid before starting the credit line) & monthly EMI of ₹8,932. The total interest is ₹7,181 and the loan repayment amount after 1 year is ₹1,10,129.
*The maximum Annual Percentage Rate (APR) can go up to 36% Based on our RBI Approved lenders.

<b>Track Your Credit Score for Free</b>
With Buddy Loan,  You can check your credit score for free and get a detailed credit report analysis in your email. Credit score ranges from 300 to 900. Refresh your Credit Score every month to track your credit health and get closer to your financial goals.

<b>Why choose the Buddy Loan App?</b>
• Instant Loan up to ₹50 Lakhs* 
• Affordable Interest Rate: Starting at 11.99%* (p.a)
• 20 + RBI Approved Lenders
• 100% Paperless Digital Application
• Highest Approval Rate &  Quick Disbursal
• Flexible Repayment Plans: 6 months to 5 years
• Transparent & Convenient Loan process
• Safe & Secure

Your data is safe with us. It is transferred over a secure HTTPS connection, and we do not share it with anyone without your consent. All transactions on Buddy Loan are secured using 128-bit SSL encryption.

<b>Instant Loan Eligibility with Buddy Loan</b>
• Age: 21 and 60 years. 
• Residence: Indian Resident.
• Income: Minimum monthly income of ₹15,000 (for salaried) or Annual Turnover for self-employed (as per lender)
• Credit Score: CIBIL Score of 650 or higher * ( Subject to Lender approval)
• Employment: Salaried job in the public/private sector or consistent self-employed income.
• Business Vintage Requirement: Minimum of 2 years or more (depending on lender) (only for business loans).

<b>Types of Loans Offered by Buddy Loan</b>
<b>Personal Loan:</b> Apply personal loan to fulfil urgent cash requirements or any other financial needs. Get instant personal loans, for emergency, shopping, marriage, car or bike, home renovation or other personal needs.
<b>Personal Loan for Salaried/Self Employed:</b> Get easy loans as a salaried or self employed professional. Quick loan approval with flexible repayment options of 6 to 60 months.
<b>Business Loan:</b> Our RBI-approved loan lenders offer MSME/ SME & Working Capital Loans to small & medium-sized businesses. Get a quick, collateral-free business loan of up to ₹50 Lakhs to grow your small business.

<b>Steps to Apply for an Instant Loan</b>
1. Login to the Buddy Loan App.
2. Fill in the basic personal details.
3. Enter the desired loan amount.
4. Get connected to RBI approved lenders.
5. Direct deposit to your bank account.
It’s safe, instant, and reliable!

<b>Responsible Lending</b>
Buddy Loan is a Personal Loan aggregator platform partnered with RBI-registered NBFC lending partners. We ensure you can secure a loan quickly to meet your personal financial needs.<b>#ZarooratAapkiZimmedariHumari</b>

DRP Financial Services Pvt Ltd -
http://drpfinance.com/sourcing_partners.html

Ditya Finance Private Limited -
https://www.mcapital.co.in/#/sourcing-partners

LENDINGKART Finance Limited -
https://www.lendingkart.com/dsachannelpartner-xlr8/

UPWARDS CAPITAL PRIVATE LIMITED -
https://upwards.in/upwards-lead-generation-partners

mPokket Financial Services Private Limited -
https://mpokket.in/digital-lead-partners/

<b>Contact Us:</b>
For Loan Assist or any other details about our personal loans, contact us at
Email : info@buddyloan.com
Phone : 080-47097512
Address : No: 1187, 5th main, 21st Cross Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102"
tv.bcci,"The official BCCI app and home to the Indian Cricket Team! 

For our fans from across different cities, the BCCI app helps you to stay connected with the Men and Women Indian Cricket Team. Stay informed with all the matches and developments from the Domestic circuit.

Key Features
- ⚡️ Live Scores and Ball by Ball Commentary

- 🎥 Match Highlights including Wickets, Fours and Sixes

- 🎬 Exclusive Player Interviews, Press Conferences and Behind the Scenes

- 🗓️ Schedules of upcoming fixtures

- 📰 Breaking News and Updates

- 📈 Latest Rankings, Stats and Records

- 🔎 In Depth Player Profiles

Don’t miss any of the action and download the official BCCI app today!"
in.cricketexchange.app.cricketexchange,"Looking to exchange your love for cricket with a companion? 🤔👀
Search no further, here’s the best <b>one-stop-app</b> for all things cricket.

CREX is here to transform your <b>Live Cricket Experience</b> knowing the fact that Cricket is more than a game to you. From Live score updates, & commentary to fantasy analysis & Cricket Stories, everything you need to know about your favourite sport is covered here in the most unique and engaging manner. CREX covers:

- Every important happening in the cricket world
- Fantasy tips and top picks
- Live ball by ball commentary
- Real-time win percentage and fan polls
- Detailed scorecard with wicket description and partnership stats
- Insightful pre-match info and analysis
- Detailed rankings, points table, & records
- And a lot more

🏆 Follow Cricket Score & Updates of all tours & leagues including IPL 2024, T20 World Cup 2024 with CREX. We cover all tournaments, tours, and leagues including but not limited to World Cup, BBL, PSL, BPL, Abu Dhabi T10 league, Super Smash, T20 Blast, County Cricket, Super 50 Cup.

<b>Unique Features:</b>

🏡 Follow interesting insights and every important updates on fingertip
📊 Get deep insights and improve your <b>cricket analysis</b> with graphs.
💬 Find detailed information related to <b>any active series</b>.
📌 Keep track of live scores anytime, anywhere with <b>Pin Live score</b>.
🕵️‍♂️ <b>Tap any player or team</b> and get in-depth stats & analysis.
🚦 Switch between <b>light and dark themes</b> whenever you like.
🔔 Notifications for all live & upcoming matches, key events, & <b>Breaking News</b>.
🏏 <b>Analyse, create and track</b> your cricket fantasy team.
🔭 Find anything related to your favourite sport with <b>Cricket Search</b>.

<b>Informative Tabs</b>:

🏠<b>Home</b>
- Cricket insights
- Team updates
- Live happenings

🏏 <b>Matches</b>
- Multiple Live Matches
- Upcoming and Finished matches

💬 <b>Series</b>
- Complete series info and stats
- Points table
- Top Performing Players and Teams Squads

🔴 <b>Fixtures</b>
- Days-wise, Series-wise and Teams-wise matches
- Matches are further classified into International, T20, ODI, Test, League and Women

📊 <b>News</b>
- Latest Cricket News & updates
- Articles, Breaking News, & much more

➕ <b>More</b>
- Men’s Ranking
- Women’s ranking
- Choose your preferred language- available in English, Hindi, & Bengali.

Details about <b>Premium version</b>:
If you’re a premium customer, you can PIN live score in the background. Yes, there is a premium subscription for the app too. It’s quite reasonable and comes with features that have never been offered before like Odds’ History, Graphs, PIN Live Scores. Go premium to experience the best cricket app, ad-free.

Download the app and enjoy Cricket with Better, Faster & More Reliable Version of CREX."
com.flipkart.android,"Flipkart brings you the joy of discovery with a huge selection of original products from mobiles, fashion, electronics, home appliances, groceries, and more - making it the one-stop shop for everything you need. With huge discounts on almost everything, extra SuperCoins with every purchase, rewards for playing games, and timely alerts on event dates, deals, and updates - the app is built for easy convenience. Go ahead and discover all this in your own language.


<b>Top reasons to download the app:</b>

👚 <b>Spoyl</b>: Check out the new Gen-Z fashion destination featuring fresh drops daily, LIT trends, and genderless styles for all. Spoyl yourself by being the first to own the most of it!
💸 <b>Personal loans</b> that come with flexible EMIs, affordable interest rates and an efficient user experience specially designed for an easier approval process.
📺  With <b>Vibes</b>, your online shopping will feel like you’re doing it in person from the comfort of your couch.
🎨 Easy on the eye colours, and easy-to-find features - the new design brings everything closer to where you want it to be.
🌶️ Skip the queue, save on fuel, and get groceries delivered to your doorstep. But, order a day in advance not when you’re making chutney and wondering if you have chilli! Living life by the minute isn’t scalable.
💑 Get your friends to shop and save together with <b>Group Buy</b> deals. Remember, a group that shares always sticks together.
✨ Switch to experience <b>Brand Mall</b> - a space to see our collection of premium brands. If you love going to the mall but want to do it when you’re in your living room, then this one’s for you.
🛍️ Tailor-made recommendations and trending stores that work better if you are logged in. Try them and let us know how we did.
🇮🇳 A much-better regional language experience making the app sound closer to home for all of us.
🚀 Also, the entire experience should load faster than ever because our engineers are showing off their latest efficiency.


Go ahead and update the app to find out how we’ve built something for everyone and put you at the heart of it.

_________________________________

*Note on Personal Loans*

Scapic Innovations Pvt Ltd (SuperMoney) is a Flipkart Group financial technology company. Scapic Innovations Pvt Ltd only provides a platform to facilitate money lending by Regulated Entities viz. registered Non-Banking Financial Companies (NBFCs) or Banks to users and is acting as an Loan Service Provider in partnership with Axis Bank & IDFC Bank. 
Loan tenures offered by the lenders vary from 6 months up to 72 months. The rates start from 10.5% and may go up to 33%. Loan amount ranges from Rs 5000 up to Rs 10L. Interest rates and loan amounts are determined by the lenders basis customer profile and not Scapic or Flipkart. 
Sample working is shown below

Representative Example:
Loan Amount
Rs 102008
Processing Fee (Including 18% GST)
Rs 2407
Stamp Duty
Rs 20
Net Disbursal Amount
Rs 99581
Interest Rate
20.50%
Monthly EMI
Rs 6631
Loan Period
18 months
First Emi date
10/12/2023*
Last Emi date
10/05/2025*
*Subject to change based on disbursal date

Maximum Annual Percentage Rate (APR) :  33%
Interest rates available on the platform are provided by the lending partner (NBFC or Bank) that is approving the loan. The rates vary depending on the customer profile based on credit score and other factors, as per lenders.

Privacy Policy
https://www.flipkart.com/pages/scapic-privacy-policy
Scapic T&C
https://www.flipkart.com/pages/scapic-tnc

Partner Links:
https://www.idfcfirstbank.com/personal-banking/adlp/digital-lending-partners/scapic-innovations
https://www.axisbank.com/retail/loans/personal-loan/personal-loan-lsp
_____________________________________
If you have more ideas on how we can solve for India or find a bug you’d like to bring to our attention, drop a note to <b>app-feedback@flipkart.com</b>."
co.alicia.btoos,"Hareesh Academy is Standard & Famous Coaching Institute for Groups, SI, TET, DSC & all Competitive Exams .
This Institute run by most eminent experienced faculty who are subject writers and content developers. HAREESH  focused on helping youth & Poor in getting jobs in the TSPSC, APPSC and all Competitive Exams. 
We offered  related to Group 1, 2, 3 & 4,SI-PC, RRB NTPC, TET, DSC,JL, DL, AEO, AGRICET,  and all Competitive Exams.
Our motto is ""IF YOU CAN DREAM IT WE CAN MAKE IT"".
We believe where learning is imparted through crisp to the point related and relevant Coaching. 

Personalized analysis you can check your weaker points through test with details.
live test for real exam experience."
com.sonyliv,"Looking for a one-stop destination for world sports, binge-worthy shows, original series & movies? Sony LIV is your go to streaming OTT platform! Create up to 5 personalized profiles & watch on 2 screens simultaneously with select packs

Subscribe & binge Sony LIV’s web series, latest movies & Originals across languages: Hindi, Marathi, Tamil, Telugu, Malayalam, Kannada & Bengali

Hindi Originals: 36 Days, Gullak S4, Undekhi, Maharani, Scam 1992, Scam 2003 - The Telgi Story, Rocket Boys, College Romance, JL50, Tanaav, Avrodh, Jehanabad, Cubicles, Kathmandu Connection

Hindi Exclusives: Adrishyam, Raisinghani vs Raisinghani, Baalveer, Master Chef India, Shark Tank India

Marathi: Lampan, Shantit Krantit, Maharashtrachi Hasya Jatra, Karan Gunhyala Mafi Nahi, Pratishodh - Zunj Astitvachi

Malayalam: Malayalee from India, Varshangalkku Shesham, Bramayugam , 2018, Chaaver, 18+ Journey of Love, 1001 Nunakal, Eesho - DTD, Saudi Velakka, Ankatshari, Sundari Gardens, Churuli

Tamil & Telugu: MasterChef Telugu, MasterChef Tamil, Sathiya Sodhanai, Koozhangal, Adiyae, Por Thozhil, Farhana, Oke Oka Kanam, Nijam With Smitha, Pareshan, Iru Dhuruvam S2, Aadavallu Meeku Joharlu, Gargi

Kannada: Toby
TV Shows: Bhumikanya, Badall Pe Paon Hai, Taarak Mehta Ka Ooltah Chashmah, Superstar Singer S3, Kaun Banega Crorepati, Shrimad Ramayan, Madness Machayenge, Jhalak Dikhhla Jaa, Indian Idol, India’s Best Dancer, Super Dancer, Wagle Ki Duniya, Pushpa Impossible, Barsaatein, Katha, Pashmina dhaage mohabbat ke, Dhruv Tara, Dil Diyaan Gallaan, Chhalaang, CID, Crime Patrol

English: The Pope's Exorcist, Agatha Christie's Murder Is Easy, The Woman King, A Man Called Otto, Lyle Lyle Crocodile, Seven Pounds, Bicentennial Man, Groundhog Day, Where The Crawdads Sing, Bodies Bodies Bodies, The Invitation, Confidential Assignment 2, Don't Breathe 2, (Korean Movies) Phantom, Parasite, Broker
Bengali: Saturday Afternoon, Lokkhi Chhele, Fatafati, Hawa, Haami 2

Movies: Subscribe & watch Bollywood movies in Tamil, Malayalam, Telugu & Kannada
Explore heartfelt drama Tu Bhetashi Navyane & high energy competition India's Best Dancer!

Sony LIV brings you live coverage of global sports events—cricket, football, tennis, racing!

SPORTS: UEFA Euro 2024, UEFA Champions League, Europa League, Youth League, Europa Conference League 2023/24) Semifinal & Final, Roshn Saudi Pro League, The Emirates FA Cup Final – Manchester City vs Manchester United, ABB FIA Formula E World Championship 2024, 2024 Hyundai Archery World Cup (Stage 3) Antalya, Turkey, Roland Garros 2024, ATP Masters 1000 - Internazionali BNL d’Italia - Rome Masters, Mutua Madrid Open 2024, New Zealand Women Tour of England 2024, DFB Pokal Final 2024, WTT 2024 Saudi Smash 2024 (Table Tennis), India Tour of Sri Lanka 2024, WTT Star Contender Bangkok, Thailand 2024 (Table Tennis), India Tour of Zimbabwe 2024, West Indies Tour of England 2024, NXT Heatwave 2024, Extreme E 2024 (Hydro X Prix - Scotland), The Hundred 2024 (Men's & Women’s), Durand Cup 2024, ASIAN TOUR 2024 (Golf), Bundesliga League 2023-24, Vitality T20 Blast, UFC Fight Night, UFC 304

WWE Universe: Unleash the Power of Wrestling.
Sony LIV’s exclusive WWE Universe! Dive into 9,000+ hours of wrestling action, including WWE Raw, SmackDown, NXT, ad-free pay-per-view events
WWE: WWE Specials – Backlash / King & Queen of the Ring 2024, WWE Specials – Money in The Bank 2024, WWE Raw, WWE SmackDown & WWE NXT

Sony LIV has several app versions & through these versions Sony LIV is available across multiple geographies. The app’s offering & the personal data that it collects differs for each country that it has a presence in. Sony LIV’s region-specific privacy policy provides an understanding of the nature of personal data being collected, lawful basis for data processing, data storage, retention & other privacy practices of Sony LIV. For more clarity, do read the Privacy Policy as available on Sony LIV in your region. We also encourage you to read Terms of Use"
com.fantafeat,Error fetching description
com.confirmtkt.lite,"<big><b>Fastest Train Ticket Booking App</b></big>
 IRCTC Authorised Partner
Highest Rated Train App in India 🇮🇳

<b>Confirmed train tickets</b>
Increase your chance of getting Confirm train ticket with the ConfirmTkt Alternates and Prediction feature.

<b>Get a Full Refund on train ticket cancellation</b>
With the ConfirmTkt Free Cancellation feature, get an instant and full refund.

Other Services
<b>PNR Status | Live Train Running Status | Train Schedule</b>

You can easily use your existing IRCTC login credentials for train ticket booking on ConfirmTkt Train App.

Why ConfirmTkt is the <b>Best App for IRCTC Train Ticket Booking</b>?

💺<b>IRCTC Bookings with Easy IRCTC Login</b>

● Get Confirmed Train Tickets powered by waitlist Prediction and the Same Train Alternates feature.
●  Full refund on IRCTC ticket cancellation.
●  Dedicated 24x7 customer support; for any IRCTC train booking & enquiry related queries, call 08068243910
● Alternates feature that combines train and train, bus and train to give you a confirmed ticket to travel
● Recover forgotten IRCTC or register a new IRCTC userid easily. Reset the IRCTC password in the app.
● Supports General Quota, Ladies, Tatkal, Lower Berth/Sr. Citizen quotas
● Easily get Confirm Train Ticket after final chart preparation through Current Availability.
● IRCTC Vikalp Option available to help you get Confirm Train Ticket.


📈 <b>PNR Status & Wait-list Predictions of Train Tickets</b>

You can quickly check the PNR Status of your IRCTC train ticket on the ConfirmTkt App. In addition, you can get instant updates through the notification of any change in PNR Status and your train timings or route. 
If your ticket is on the waitlist, you can also see the prediction of getting your train ticket confirmed. Also, you can check for any hidden confirm tickets through ConfirmTkt same train alternates.  

<b>Train Booking Recommendation</b>: We highly recommend you prepare for alternatives if the ConfirmTkt prediction of your train ticket is a low chance and you cannot find any confirmed ticket through ConfirmTkt's same train alternate feature.

📍<b>IRCTC Live Train Running Status</b>

After booking IRCTC train tickets on ConfirmTkt App, you can quickly check your train running status and get live updates of your train. So you can plan a hassle-free train journey with the ConfirmTkt train App.


🙋<b>Some of the frequently asked queries that we get from our train ticket booking users</b>

1. How ConfirmTkt increases your chance of getting Confirm Train Ticket?

Same Train Alternates and Train Waitlist Prediction of ConfirmTkt is the best in the industry.
With ConfirmTkt same train alternates, you can find hidden confirm train tickets by changing your boarding/dropping point. With ConfirmTkt's accurate prediction, even if the ticket is on the waitlist, your ticket will get confirmed if the ConfirmTkt forecast is green, so go ahead and book your train ticket with assurance.

2. Does ConfirmTkt Guarantees Confirm Train Ticket?
No ConfirmTkt does not guarantee you a confirmed train ticket. But instead, it increases your chance of getting a confirm train ticket powered by the same train alternates and prediction.

3. How many days in advance train ticket can be booked for any route?
Train tickets can be booked 120 days in advance on ConfirmTkt App.


🏅<b> Awards</b>
●	ConfirmTkt is the winner of awards like the mBillionth Travel & Culture award in 2017 Manthan award in 2016. Also selected as the most innovative startup by Nasscom 10k startups at NPC 2016.

Become Train Ticket Tiger with ConfirmTkt Train App

We are a principal service provider for IRCTC, and IRCTC has its app as IRCTC Rail Connect.

Note: IRCTC is often misspelt as irtc
<b>IRCTC</b> : Indian Railway Catering and Tourism Corporation

📧 For queries/feedback on IRCTC train ticket booking
trainticketenquiry@confirmtkt.com"
